subject,session_stamp,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available
yyl,2025_09_28_09_29_01,1,1,1,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_29_01_vehicle.csv,原始生理数据/yyl/Entity_Recording_2025_09_28_09_29_01_physio.csv,原始脑电数据/yyl/Entity_Recording_2025_09_28_09_29_01_eeg.csv,1759051741.573,1759052313.364,1759051741.548,1759052313.365,1759051741.6179998,1759052313.364,True,True,True,True
yyl,2025_09_28_09_39_01,1,1,1,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_39_01_vehicle.csv,原始生理数据/yyl/Entity_Recording_2025_09_28_09_39_01_physio.csv,原始脑电数据/yyl/Entity_Recording_2025_09_28_09_39_01_eeg.csv,1759052341.9390001,1759052913.487,1759052341.9180002,1759052913.488,1759052342.0019999,1759052913.488,True,True,True,True
yyl,2025_09_28_09_49_11,1,1,1,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_49_11_vehicle.csv,原始生理数据/yyl/Entity_Recording_2025_09_28_09_49_11_physio.csv,原始脑电数据/yyl/Entity_Recording_2025_09_28_09_49_11_eeg.csv,1759052951.42,1759053494.2510002,1759052951.4060001,1759053494.2510002,1759052951.4499998,1759053494.2510002,True,True,True,True
yzy,2025_09_27_14_13_03,1,1,1,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_13_03_vehicle.csv,原始生理数据/yzy/Entity_Recording_2025_09_27_14_13_03_physio.csv,原始脑电数据/yzy/Entity_Recording_2025_09_27_14_13_03_eeg.csv,1758982383.231,1758983078.211,1758982383.22,1758983078.211,1758982383.241,1758983078.211,True,True,True,True
yzy,2025_09_27_14_26_04,1,1,1,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_26_04_vehicle.csv,原始生理数据/yzy/Entity_Recording_2025_09_27_14_26_04_physio.csv,原始脑电数据/yzy/Entity_Recording_2025_09_27_14_26_04_eeg.csv,1758983165.192,1758983780.4620001,1758983165.177,1758983780.464,1758983165.205,1758983780.464,True,True,True,True
yzy,2025_09_27_14_37_08,1,1,1,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_37_08_vehicle.csv,原始生理数据/yzy/Entity_Recording_2025_09_27_14_37_08_physio.csv,原始脑电数据/yzy/Entity_Recording_2025_09_27_14_37_08_eeg.csv,1758983828.648,1758984423.573,1758983828.64,1758984423.576,1758983828.664,1758984423.576,True,True,True,True
yzy,2025_09_27_15_04_26,1,1,1,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_04_26_vehicle.csv,原始生理数据/yzy/Entity_Recording_2025_09_27_15_04_26_physio.csv,原始脑电数据/yzy/Entity_Recording_2025_09_27_15_04_26_eeg.csv,1758985467.118,1758985580.6030002,1758985467.118,1758985580.6030002,1758985467.1260002,1758985580.6019998,True,True,True,True
yzy,2025_09_27_15_07_57,1,1,1,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_07_57_vehicle.csv,原始生理数据/yzy/Entity_Recording_2025_09_27_15_07_57_physio.csv,原始脑电数据/yzy/Entity_Recording_2025_09_27_15_07_57_eeg.csv,1758985677.661,1758986263.206,1758985677.666,1758986263.208,1758985677.666,1758986263.207,True,True,True,True
zdq,2025_09_26_15_14_51,1,1,0,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_14_51_vehicle.csv,原始生理数据/zdq/Entity_Recording_2025_09_26_15_14_51_physio.csv,,1758899691.754,1758900047.2140002,1758899691.747,1758900047.217,,,True,True,False,False
zdq,2025_09_26_15_21_51,1,1,0,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_21_51_vehicle.csv,原始生理数据/zdq/Entity_Recording_2025_09_26_15_21_51_physio.csv,,1758900111.12,1758900372.976,1758900111.119,1758900372.978,,,True,True,False,False
zdq,2025_09_26_15_27_09,1,1,0,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_27_09_vehicle.csv,原始生理数据/zdq/Entity_Recording_2025_09_26_15_27_09_physio.csv,,1758900429.381,1758900970.741,1758900429.3769999,1758900970.744,,,True,True,False,False
