sample_id,formal_rmse,gt_peak_abs,selected_rmse,delta_selected_minus_formal
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000554145__pre2_label2_old_main,1.4488881826400757,0.05044001340866089,0.018061775714159012,-1.4308264069259167
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885__pre2_label2_old_main,0.576966404914856,0.967086672782898,0.7625605463981628,0.18559414148330688
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000090445__pre2_label2_old_main,0.34221595525741577,0.48886746168136597,0.5917763113975525,0.24956035614013672
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000132255__pre2_label2_old_main,0.23907384276390076,0.3886851966381073,0.5364935398101807,0.2974196970462799
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000149170__pre2_label2_old_main,0.49119266867637634,0.4331910014152527,0.3177873194217682,-0.17340534925460815
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000201270__pre2_label2_old_main,0.13354012370109558,0.7197740077972412,0.12794335186481476,-0.005596771836280823
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000214960__pre2_label2_old_main,0.4339961111545563,1.0585428476333618,0.372832715511322,-0.06116339564323425
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000225310__pre2_label2_old_main,0.48793378472328186,1.3048069477081299,0.3738711178302765,-0.11406266689300537
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000269015__pre2_label2_old_main,0.10843076556921005,0.26668649911880493,0.13450822234153748,0.026077456772327423
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680__pre2_label2_old_main,0.8624502420425415,1.7699379920959473,0.17041872441768646,-0.692031517624855
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000349455__pre2_label2_old_main,0.1918640434741974,0.8288570046424866,0.09838169813156128,-0.09348234534263611
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470__pre2_label2_old_main,0.20842339098453522,0.7447320222854614,0.3746403753757477,0.16621698439121246
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000526990__pre2_label2_old_main,0.5034530162811279,0.08918601274490356,0.05347425863146782,-0.4499787576496601
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450__pre2_label2_old_main,0.5705500841140747,1.124341607093811,0.5869677066802979,0.016417622566223145
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000050245__pre2_label2_old_main,0.22455166280269623,0.6377439498901367,0.17935359477996826,-0.045198068022727966
