seed,fold,population,model,channel,windows,mae,rmse,endpoint_mae
20260902,1,high_dynamic_not_started,linear,brake,2266,0.0682942271232605,0.1228331997990608,0.1080608069896698
20260902,1,high_dynamic_not_started,linear,accelerator,2266,0.040078055113554,0.120032362639904,0.0829987972974777
20260902,1,high_dynamic_not_started,linear,speed_kmh,2266,1.6503187417984009,5.2178955078125,3.677694320678711
20260902,1,high_dynamic_not_started,linear,action_macro,2266,1.6055954694747925,4.401717185974121,3.159125566482544
20260902,1,high_dynamic_not_started,extra_trees,steer_deg,2266,14.333710670471191,28.11104965209961,26.155481338500977
20260902,1,high_dynamic_not_started,extra_trees,brake,2266,0.0514509007334709,0.1019200757145881,0.0821639597415924
20260902,1,high_dynamic_not_started,extra_trees,accelerator,2266,0.0479168966412544,0.1133435145020484,0.0938480943441391
20260902,1,high_dynamic_not_started,extra_trees,speed_kmh,2266,1.2928556203842163,3.23368763923645,2.65691876411438
20260902,1,high_dynamic_not_started,extra_trees,action_macro,2266,1.6180328130722046,3.692471265792847,2.917112350463867
20260902,1,high_dynamic_not_started,transformer,steer_deg,2266,13.307979583740234,27.732561111450195,25.2669620513916
20260902,1,high_dynamic_not_started,transformer,brake,2266,0.0508134923875331,0.1102685928344726,0.0822601243853569
20260902,1,high_dynamic_not_started,transformer,accelerator,2266,0.0447176918387413,0.1158795729279518,0.0850564241409301
20260902,1,high_dynamic_not_started,transformer,speed_kmh,2266,1.96751070022583,4.508071899414063,3.9091856479644775
20260902,1,high_dynamic_not_started,transformer,action_macro,2266,1.5240731239318848,3.696786403656006,2.799907922744751
20260902,1,high_dynamic_not_started,et_transformer_residual,steer_deg,2266,14.312414169311523,28.48407745361328,26.40896415710449
20260902,1,high_dynamic_not_started,et_transformer_residual,brake,2266,0.0505124628543853,0.1063538715243339,0.0803067982196807
20260902,1,high_dynamic_not_started,et_transformer_residual,accelerator,2266,0.0448212139308452,0.1159329116344451,0.0868792310357093
20260902,1,high_dynamic_not_started,et_transformer_residual,speed_kmh,2266,1.2903921604156494,3.230763912200928,2.651888132095337
20260902,1,high_dynamic_not_started,et_transformer_residual,action_macro,2266,1.5897188186645508,3.7574076652526855,2.875171184539795
20260902,1,action_started,hold,steer_deg,82194,10.86745834350586,27.353967666625977,18.07960319519043
20260902,1,action_started,hold,brake,82194,0.0133781526237726,0.0599503405392169,0.0227631200104951
20260902,1,action_started,hold,accelerator,82194,0.0604371838271617,0.1186157241463661,0.0850960910320282
20260902,1,action_started,hold,speed_kmh,82194,1.4590356349945068,2.7651026248931885,2.753490209579468
20260902,1,action_started,hold,action_macro,82194,1.216599464416504,3.5116515159606934,1.9243685007095337
20260902,1,action_started,linear,steer_deg,82194,16.27355194091797,42.77507400512695,32.0511474609375
20260902,1,action_started,linear,brake,82194,0.0435520261526107,0.0830299705266952,0.0573707483708858
20260902,1,action_started,linear,accelerator,82194,0.079145535826683,0.1397354006767273,0.122931994497776
20260902,1,action_started,linear,speed_kmh,82194,0.550717294216156,1.7661243677139282,1.2006677389144895
20260902,1,action_started,linear,action_macro,82194,1.90288770198822,5.283819675445557,3.3387608528137207
20260902,1,action_started,extra_trees,steer_deg,82194,8.527263641357422,20.222885131835938,13.282859802246094
20260902,1,action_started,extra_trees,brake,82194,0.0141685083508491,0.0520931668579578,0.023964675143361
20260902,1,action_started,extra_trees,accelerator,82194,0.0661558359861373,0.1134112328290939,0.0967001914978027
20260902,1,action_started,extra_trees,speed_kmh,82194,0.4665588736534118,1.2535704374313354,0.9922945499420166
20260902,1,action_started,extra_trees,action_macro,82194,1.1039795875549316,2.7440202236175537,1.6899566650390625
20260902,1,action_started,transformer,steer_deg,82194,8.84896183013916,21.434404373168945,13.773415565490724
20260902,1,action_started,transformer,brake,82194,0.0150041226297616,0.0567029565572738,0.0241091419011354
20260902,1,action_started,transformer,accelerator,82194,0.0619885437190532,0.1147199422121048,0.0864851325750351
20260902,1,action_started,transformer,speed_kmh,82194,0.5937061905860901,1.6917989253997805,1.2016218900680542
20260902,1,action_started,transformer,action_macro,82194,1.1032150983810425,2.8825740814208984,1.6555228233337402
20260902,1,action_started,et_transformer_residual,steer_deg,82194,8.435099601745605,20.07316017150879,13.165335655212402
20260902,1,action_started,et_transformer_residual,brake,82194,0.0144462566822767,0.0541128814220428,0.0225612111389637
20260902,1,action_started,et_transformer_residual,accelerator,82194,0.0603987276554107,0.1134241893887519,0.0859147906303405
