split,sample_id,label_diag__broad_oracle_model,selected_model,policy_name,selector_confidence,oracle_short,selected_short
train,vehicle_instability_allraw__zdq__2025_09_26_15_21_51__000231945__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.31714888590730994,branch0,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000052510__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.3595049510529482,branch0,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000060750__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.40413112067981566,keypoint,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000456530__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2770767318264198,branch0,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_37_30__000202020__pre3_label3_response_coverage,topk_vehicle_transformer_branch0_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.26779789284090216,branch0,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000058070__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.24570079586614432,rbf,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000130370__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.32553592499472717,rbf,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000577885__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.37625259406717293,rbf,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_16_03_48__000347185__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.2852452655745949,rbf,rbf
train,vehicle_instability_allraw__zdq__2025_09_26_16_03_48__000471380__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,rf_depth4_balanced__fallback_rbf_conf_lt_0.55,0.3515478418756974,rbf,rbf
